PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36181398","Activation of Piezo1 contributes to matrix stiffness-induced angiogenesis in hepatocellular carcinoma","Li M, Zhang X, Wang M, Wang Y, Qian J, Xing X, Wang Z, You Y, Guo K, Chen J, Gao D, Zhao Y, Zhang L, Chen R, Cui J, Ren Z.","Cancer Commun (Lond). 2022 Nov;42(11):1162-1184. doi: 10.1002/cac2.12364. Epub 2022 Oct 1.","Li M","Cancer Commun (Lond)","2022","2022/10/01","PMC9648387","","10.1002/cac2.12364"
"36328754","Mechanical overloading induces GPX4-regulated chondrocyte ferroptosis in osteoarthritis via Piezo1 channel facilitated calcium influx","Wang S, Li W, Zhang P, Wang Z, Ma X, Liu C, Vasilev K, Zhang L, Zhou X, Liu L, Hayball J, Dong S, Li Y, Gao Y, Cheng L, Zhao Y.","J Adv Res. 2022 Nov;41:63-75. doi: 10.1016/j.jare.2022.01.004. Epub 2022 Jan 11.","Wang S","J Adv Res","2022","2022/11/03","PMC9637484","","10.1016/j.jare.2022.01.004"
"31941964","Mechanical sensing protein PIEZO1 regulates bone homeostasis via osteoblast-osteoclast crosstalk","Wang L, You X, Lotinun S, Zhang L, Wu N, Zou W.","Nat Commun. 2020 Jan 15;11(1):282. doi: 10.1038/s41467-019-14146-6.","Wang L","Nat Commun","2020","2020/01/17","PMC6962448","","10.1038/s41467-019-14146-6"
"40695281","Procr(+) chondroprogenitors sense mechanical stimuli to govern articular cartilage maintenance and regeneration","Zhu Q, Yin F, Qin J, Shi W, Liu Y, Zhao Y, Wang J, Zhang L, Fan A, Cao D, Peng Q, Zhou B, Wang L, Zou W, Yue R.","Cell. 2025 Sep 18;188(19):5194-5211.e16. doi: 10.1016/j.cell.2025.06.036. Epub 2025 Jul 21.","Zhu Q","Cell","2025","2025/07/22","","","10.1016/j.cell.2025.06.036"
"37759400","The Critical Role of The Piezo1/β-catenin/ATF4 Axis on The Stemness of Gli1(+) BMSCs During Simulated Microgravity-Induced Bone Loss","Hu Y, Tian H, Chen W, Liu Y, Cao Y, Pei H, Ming C, Shan C, Chen X, Dai Z, Yang S, Shao Z, Lan S, Liu Y, Tong W.","Adv Sci (Weinh). 2023 Nov;10(32):e2303375. doi: 10.1002/advs.202303375. Epub 2023 Sep 27.","Hu Y","Adv Sci (Weinh)","2023","2023/09/28","PMC10646271","","10.1002/advs.202303375"
"31290742","The mechanosensitive Piezo1 channel is required for bone formation","Sun W, Chi S, Li Y, Ling S, Tan Y, Xu Y, Jiang F, Li J, Liu C, Zhong G, Cao D, Jin X, Zhao D, Gao X, Liu Z, Xiao B, Li Y.","Elife. 2019 Jul 10;8:e47454. doi: 10.7554/eLife.47454.","Sun W","Elife","2019","2019/07/11","PMC6685704","","10.7554/eLife.47454"
"32186512","Piezo1/2 mediate mechanotransduction essential for bone formation through concerted activation of NFAT-YAP1-ß-catenin","Zhou T, Gao B, Fan Y, Liu Y, Feng S, Cong Q, Zhang X, Zhou Y, Yadav PS, Lin J, Wu N, Zhao L, Huang D, Zhou S, Su P, Yang Y.","Elife. 2020 Mar 18;9:e52779. doi: 10.7554/eLife.52779.","Zhou T","Elife","2020","2020/03/19","PMC7112954","","10.7554/eLife.52779"
"37786932","Occlusal Force Maintains Alveolar Bone Homeostasis via Type H Angiogenesis","Chen Y, Yin Y, Luo M, Wu J, Chen A, Deng L, Xie L, Han X.","J Dent Res. 2023 Nov;102(12):1356-1365. doi: 10.1177/00220345231191745. Epub 2023 Oct 3.","Chen Y","J Dent Res","2023","2023/10/03","","","10.1177/00220345231191745"
"33627868","A mechanosensitive peri-arteriolar niche for osteogenesis and lymphopoiesis","Shen B, Tasdogan A, Ubellacker JM, Zhang J, Nosyreva ED, Du L, Murphy MM, Hu S, Yi Y, Kara N, Liu X, Guela S, Jia Y, Ramesh V, Embree C, Mitchell EC, Zhao YC, Ju LA, Hu Z, Crane GM, Zhao Z, Syeda R, Morrison SJ.","Nature. 2021 Mar;591(7850):438-444. doi: 10.1038/s41586-021-03298-5. Epub 2021 Feb 24.","Shen B","Nature","2021","2021/02/25","PMC7979521","NIHMS1667690","10.1038/s41586-021-03298-5"
"39418070","Insufficient Mechanical Loading Downregulates Piezo1 in Chondrocytes and Impairs Fracture Healing Through ApoE-Induced Senescence","Jia S, Liu W, Zhang M, Wang L, Ren C, Feng C, Zhang T, Lv H, Hou Z, Zou W, Zhang Y, Tong W, Wang J, Chen W.","Adv Sci (Weinh). 2024 Dec;11(46):e2400502. doi: 10.1002/advs.202400502. Epub 2024 Oct 17.","Jia S","Adv Sci (Weinh)","2024","2024/10/17","PMC11633519","","10.1002/advs.202400502"
